t,V10,V47k,V94k,V220k,V672k
-0.00002242,0.0072,-0.01,0.0072,-0.0004,0.0004
-0.0000224,0.0032,-0.0036,0.0024,-0.0088,0.0008
-0.00002238,0.0048,0.0032,-0.0024,-0.0052,0.006
-0.00002236,-0.0028,0.0056,-0.0048,-0.0084,0.0008
-0.00002234,-0.0028,0.0084,-0.006,-0.0052,-0.0012
-0.00002232,-0.0044,0.0048,-0.0016,-0.0076,-0.0056
-0.0000223,0.0008,0.0036,0.0012,0.0028,-0.0064
-0.00002228,0.0004,-0.0016,0.004,0.0048,-0.0072
-0.00002226,0.0048,-0.006,0.0012,0.0088,-0.002
-0.00002224,0.0028,-0.01,0.0012,0.008,-0.0012
-0.00002222,0.006,-0.008,-0.0028,-0.0012,0.006
-0.0000222,0.0012,-0.0036,-0.004,-0.008,0.008
-0.00002218,0.0008,0.0004,-0.0048,-0.0128,0.0092
-0.00002216,-0.0036,0,-0.004,-0.0056,0.0036
-0.00002214,-0.004,0.002,0.0016,-0.0096,-0.0012
-0.00002212,-0.0032,-0.0016,0.0052,-0.0056,-0.0032
-0.0000221,-0.002,-0.0012,0.0108,-0.006,-0.0072
-0.00002208,-0.0008,-0.008,0.0084,0.0072,-0.0088
-0.00002206,-0.0004,-0.0072,0.0024,0.0044,-0.0076
-0.00002204,0.002,-0.006,0.0012,0.0096,-0.004
-0.00002202,0.0008,0,-0.0048,-0.0028,0.0008
-0.000022,-0.0004,0.0048,-0.0056,-0.0016,0.0036
-0.00002198,-0.0032,0.0052,-0.0116,-0.0056,0.0044
-0.00002196,-0.004,0.0032,-0.0092,-0.0012,0.0052
-0.00002194,-0.002,0.0036,-0.0044,-0.0024,0.0044
-0.00002192,0.002,-0.004,-0.002,0.0024,0.0048
-0.0000219,0.006,-0.0024,0.0056,0.004,0.0028
-0.00002188,0.0076,-0.0088,0.004,0.0088,-0.0004
-0.00002186,0.0052,-0.004,0.0096,0.0068,-0.0012
-0.00002184,0.002,-0.0068,0.008,0.002,0.0004
